generation,frames,mean_ea_fitness,best_ea_fitness,mean_learner_fitness,best_learner_fitness,eval_return,buffer_size,learner_0_tree_fitness,learner_1_tree_fitness,learner_2_tree_fitness,learner_3_tree_fitness,learner_4_tree_fitness,learner_5_tree_fitness,learner_6_tree_fitness,learner_7_tree_fitness,learner_8_tree_fitness,learner_9_tree_fitness,learner_10_tree_fitness,learner_11_tree_fitness,learner_12_tree_fitness,learner_13_tree_fitness,learner_14_tree_fitness,learner_15_tree_fitness,learner_16_tree_fitness,learner_17_tree_fitness,learner_18_tree_fitness,learner_19_tree_fitness,learner_20_tree_fitness,learner_21_tree_fitness,learner_22_tree_fitness,learner_23_tree_fitness,learner_24_tree_fitness
240,96000000,-252.84,1362.38,1031.92,5005.46,5133.80,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (5005.5)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (4064.3)","gate(next_obs_8, is_negative(pass_greater(next_obs_13, obs_5)), obs_7) (3998.1)","gate(next_obs_8, is_negative(pass_greater(obs_0, next_obs_7)), obs_7) (4276.6)","equal_to(max(tan(obs_4), sin(obs_13)), square(obs_9)) (1996.0)","gate(next_obs_8, obs_11, gate(div_by_10(obs_2), div_by_100(next_obs_11), div_by_100(next_obs_9))) (170.9)","gate(next_obs_8, cos(div_by_100(-0.071)), gate(div_by_10(obs_9), next_obs_8, -0.757)) (1137.6)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_10), next_obs_8, div_by_100(action_5))) (1015.7)","gate(next_obs_8, is_negative(pass_greater(action_3, next_obs_9)), obs_7) (1103.8)","gate(next_obs_8, is_negative(pass_greater(next_obs_0, next_obs_5)), obs_7) (5.4)","gate(next_obs_8, cos(obs_16), subtract(action_0, gate(next_obs_14, obs_8, obs_13))) (-276.4)","gate(next_obs_8, is_negative(div_by_10(obs_5)), obs_7) (912.6)","gate(next_obs_8, div_by_10(obs_11), pass_greater(obs_2, max(obs_16, next_obs_0))) (958.9)","gate(is_negative(action_5), is_negative(pass_greater(next_obs_4, 0.349)), subtract(obs_6, next_obs_14)) (1117.5)","gate(obs_16, cos(obs_16), square(next_obs_9)) (-146.8)","gate(next_obs_8, tan(pass_greater(obs_15, obs_11)), gate(div_by_10(obs_3), next_obs_8, obs_6)) (-218.8)","gate(add(div_by_100(action_4), square(obs_6)), cos(obs_16), gate(div_by_10(action_5), next_obs_8, div_by_100(next_obs_10))) (-177.4)","gate(cos(min(next_obs_16, obs_5)), is_negative(pass_greater(next_obs_4, next_obs_1)), obs_7) (-388.6)","pass_greater(div_by_100(next_obs_7), obs_1) (3066.7)","gate(next_obs_8, add(obs_1, obs_1), obs_7) (-397.6)","protected_div(gate(protected_div(-0.121, obs_5), gate(next_obs_15, next_obs_12, action_1), pass_smaller(obs_12, action_2)), gate(next_obs_11, next_obs_13, div_by_10(next_obs_8))) (-606.9)","equal_to(tan(obs_9), max(multiply(obs_13, obs_2), div_by_10(next_obs_2))) (-485.4)",is_negative(cos(sin(action_5))) (-453.2),"sin(gate(multiply(obs_16, obs_14), next_obs_15, is_negative(obs_4))) (-535.4)","min(max(obs_11, sin(next_obs_14)), action_5) (655.0)"
241,96400000,-385.60,1351.54,763.79,4829.87,5133.80,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (4829.9)","gate(next_obs_8, is_negative(pass_greater(obs_0, next_obs_7)), obs_7) (2362.8)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (4377.7)","gate(next_obs_8, is_negative(pass_greater(next_obs_13, obs_5)), obs_7) (3667.5)","gate(next_obs_8, obs_5, gate(div_by_10(action_0), sin(obs_7), div_by_100(obs_1))) (2269.7)","gate(next_obs_8, equal_to(pass_greater(next_obs_5, action_0), cos(next_obs_12)), gate(div_by_10(next_obs_12), next_obs_8, div_by_100(obs_1))) (931.2)","gate(next_obs_8, cos(tan(obs_6)), gate(div_by_10(obs_11), action_5, div_by_100(next_obs_8))) (1338.0)","gate(next_obs_8, is_negative(pass_greater(action_0, obs_13)), obs_7) (1105.7)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_1), next_obs_8, div_by_100(next_obs_11))) (-132.9)","gate(next_obs_8, pass_smaller(subtract(obs_0, next_obs_5), min(obs_4, next_obs_14)), obs_7) (-412.3)","gate(next_obs_8, is_negative(pass_greater(next_obs_14, obs_2)), equal_to(obs_14, pass_smaller(obs_11, action_4))) (126.4)","gate(min(max(obs_3, obs_16), max(obs_16, next_obs_5)), cos(obs_16), gate(div_by_10(next_obs_11), next_obs_8, div_by_100(next_obs_7))) (2077.6)","gate(square(add(action_3, next_obs_1)), obs_9, obs_7) (-77.8)","gate(next_obs_8, div_by_10(is_negative(obs_14)), gate(obs_7, next_obs_8, div_by_100(next_obs_11))) (-149.2)","gate(next_obs_8, is_negative(pass_greater(action_4, next_obs_9)), obs_7) (7.0)","gate(next_obs_8, cos(square(action_0)), gate(next_obs_8, next_obs_8, div_by_100(action_4))) (-305.8)","gate(div_by_100(multiply(obs_8, obs_9)), is_negative(action_5), obs_7) (-121.4)","gate(next_obs_8, is_negative(pass_greater(obs_15, obs_6)), multiply(next_obs_16, pass_smaller(action_0, next_obs_15))) (-454.2)","gate(next_obs_8, is_negative(pass_greater(next_obs_15, next_obs_4)), obs_5) (-9.9)","gate(div_by_100(action_0), is_negative(pass_greater(action_1, obs_9)), obs_5) (-389.0)",is_negative(obs_5) (-505.6),"gate(pass_greater(next_obs_14, obs_14), next_obs_0, next_obs_5) (-957.6)",cos(next_obs_1) (312.0),tan(next_obs_3) (-463.7),"max(cos(min(obs_11, obs_3)), cos(cos(obs_0))) (-331.4)"
242,96800000,-543.27,1349.66,882.46,5392.57,5133.80,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (5392.6)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (3833.4)","gate(next_obs_8, is_negative(pass_greater(next_obs_13, obs_5)), obs_7) (3998.3)","gate(next_obs_8, is_negative(pass_greater(obs_0, next_obs_7)), obs_7) (3957.5)","gate(next_obs_8, cos(obs_16), pass_greater(cos(action_0), obs_5)) (3728.0)","gate(next_obs_8, div_by_100(div_by_100(obs_14)), obs_7) (907.7)","subtract(obs_16, protected_div(max(next_obs_6, next_obs_7), add(next_obs_2, obs_15))) (2356.0)","gate(next_obs_8, max(obs_3, subtract(obs_0, next_obs_13)), gate(div_by_10(0.820), next_obs_8, div_by_100(next_obs_9))) (381.5)","gate(next_obs_8, cos(obs_16), gate(next_obs_8, min(obs_5, next_obs_4), div_by_100(action_4))) (532.2)","gate(next_obs_8, equal_to(obs_14, pass_smaller(action_0, 0.830)), obs_7) (-337.4)","gate(next_obs_8, cos(obs_16), gate(div_by_10(-0.458), next_obs_8, subtract(action_1, action_0))) (199.7)","equal_to(action_2, pass_smaller(next_obs_10, is_negative(action_3))) (159.1)","gate(next_obs_8, div_by_100(next_obs_0), gate(div_by_10(obs_2), sin(obs_13), div_by_100(action_0))) (638.5)","gate(max(div_by_10(-0.971), obs_6), is_negative(pass_greater(obs_10, next_obs_7)), obs_7) (-327.0)","gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_12), subtract(next_obs_16, next_obs_8), div_by_100(action_2))) (-246.2)","gate(next_obs_8, obs_0, gate(pass_greater(obs_5, obs_2), next_obs_8, div_by_100(next_obs_3))) (45.3)","gate(next_obs_8, is_negative(action_0), add(div_by_10(obs_4), add(obs_8, next_obs_4))) (-72.0)","tan(subtract(next_obs_6, sin(action_5))) (-161.7)","gate(next_obs_8, is_negative(pass_greater(obs_14, next_obs_14)), cos(square(next_obs_13))) (-263.3)","gate(div_by_100(obs_1), is_negative(pass_greater(next_obs_1, action_4)), square(obs_2)) (-549.1)","equal_to(next_obs_4, obs_5) (-248.1)","protected_div(obs_15, max(pass_smaller(action_0, -0.566), min(0.748, next_obs_15))) (-526.3)",sin(sin(sin(obs_14))) (-461.8),"subtract(pass_smaller(next_obs_13, max(action_1, obs_0)), pass_smaller(min(action_0, obs_5), equal_to(next_obs_15, next_obs_2))) (-504.1)","add(pass_smaller(is_negative(next_obs_2), obs_4), 0.681) (-371.5)"
243,97200000,-281.15,1358.75,760.84,5121.41,5133.80,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (5096.8)","gate(next_obs_8, is_negative(pass_greater(next_obs_13, obs_5)), obs_7) (4075.7)","gate(next_obs_8, is_negative(pass_greater(obs_0, next_obs_7)), obs_7) (5121.4)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (4288.6)","gate(next_obs_8, pass_greater(pass_smaller(obs_15, next_obs_7), obs_8), pass_greater(next_obs_13, obs_5)) (2837.2)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_2), next_obs_8, div_by_100(next_obs_4))) (90.9)","gate(next_obs_8, min(next_obs_5, obs_14), gate(div_by_10(obs_11), next_obs_8, add(obs_1, next_obs_7))) (-282.6)","gate(next_obs_8, cos(div_by_10(obs_5)), gate(div_by_10(next_obs_13), next_obs_8, div_by_100(action_4))) (1957.1)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_9), next_obs_8, div_by_100(obs_10))) (590.5)","gate(subtract(obs_4, next_obs_3), next_obs_13, gate(div_by_10(0.814), next_obs_8, div_by_100(obs_0))) (205.5)","gate(min(min(next_obs_0, next_obs_13), next_obs_12), is_negative(pass_greater(obs_0, next_obs_5)), obs_7) (-413.0)","gate(div_by_100(add(obs_5, next_obs_2)), is_negative(pass_greater(obs_8, obs_8)), obs_7) (145.3)","gate(next_obs_8, is_negative(pass_greater(next_obs_9, next_obs_6)), div_by_10(is_negative(next_obs_12))) (113.0)","gate(next_obs_8, is_negative(pass_greater(obs_15, obs_10)), div_by_10(add(obs_14, next_obs_15))) (-205.2)","equal_to(min(multiply(next_obs_10, obs_13), is_negative(next_obs_2)), obs_5) (-397.7)","gate(protected_div(protected_div(obs_6, obs_11), -0.159), cos(obs_16), gate(div_by_10(next_obs_8), next_obs_8, div_by_100(obs_12))) (-560.7)","gate(next_obs_8, equal_to(div_by_100(action_1), min(action_5, obs_9)), obs_7) (-230.8)","gate(next_obs_8, obs_5, gate(div_by_10(obs_0), pass_greater(next_obs_14, action_4), div_by_100(next_obs_15))) (-314.6)","gate(next_obs_8, cos(sin(action_4)), gate(div_by_10(obs_15), next_obs_8, div_by_100(obs_4))) (523.8)","gate(next_obs_8, div_by_100(div_by_100(next_obs_15)), subtract(next_obs_16, next_obs_8)) (-231.4)","pass_greater(cos(subtract(next_obs_7, next_obs_11)), sin(next_obs_8)) (-330.3)","equal_to(add(action_5, div_by_100(obs_11)), is_negative(div_by_100(next_obs_0))) (-483.4)","square(gate(max(next_obs_10, obs_11), multiply(next_obs_0, next_obs_15), obs_8)) (-1660.9)","max(next_obs_16, pass_greater(obs_4, subtract(action_5, next_obs_0))) (-348.7)","pass_greater(next_obs_4, add(div_by_10(obs_16), protected_div(next_obs_4, next_obs_4))) (-565.5)"
244,97600000,-197.99,1365.31,922.72,4963.92,5133.80,1000000,"gate(next_obs_8, is_negative(pass_greater(obs_0, next_obs_7)), obs_7) (4695.7)","gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (4963.9)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (4134.1)","gate(next_obs_8, is_negative(pass_greater(next_obs_13, obs_5)), obs_7) (4896.8)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_5), is_negative(obs_6), div_by_100(obs_6))) (2548.5)","gate(next_obs_7, is_negative(pass_greater(next_obs_0, next_obs_6)), multiply(action_4, div_by_10(next_obs_4))) (175.6)","gate(next_obs_8, equal_to(obs_10, add(action_3, next_obs_7)), obs_7) (352.7)","gate(next_obs_8, add(min(obs_0, obs_2), div_by_10(obs_2)), obs_7) (269.4)","gate(next_obs_8, is_negative(pass_greater(obs_1, next_obs_5)), subtract(subtract(next_obs_9, obs_6), obs_8)) (243.6)","gate(next_obs_8, div_by_100(next_obs_15), gate(max(next_obs_16, next_obs_13), next_obs_8, div_by_100(obs_4))) (598.0)","gate(next_obs_8, div_by_100(div_by_100(obs_3)), gate(div_by_10(obs_14), next_obs_8, div_by_100(obs_14))) (328.3)","gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_10), next_obs_8, div_by_100(next_obs_0))) (2258.0)","protected_div(next_obs_12, add(tan(next_obs_9), sin(obs_7))) (-456.2)","gate(next_obs_8, pass_greater(pass_smaller(obs_0, next_obs_3), next_obs_12), obs_7) (-296.8)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_4), next_obs_8, div_by_100(obs_4))) (57.3)","gate(next_obs_8, cos(obs_16), pass_smaller(obs_12, gate(action_4, action_3, -0.178))) (1605.5)","gate(next_obs_8, div_by_100(equal_to(obs_0, next_obs_7)), obs_7) (-332.3)","gate(next_obs_8, is_negative(sin(next_obs_1)), obs_7) (-404.0)","gate(next_obs_8, is_negative(div_by_100(next_obs_7)), obs_7) (-411.6)","gate(div_by_10(next_obs_2), is_negative(pass_greater(action_2, obs_12)), square(gate(obs_0, obs_0, obs_13))) (-402.5)",cos(square(action_5)) (-356.4),"max(cos(min(next_obs_0, next_obs_10)), -0.492) (-444.5)","subtract(add(max(next_obs_8, obs_6), square(next_obs_1)), div_by_100(next_obs_11)) (-307.3)","subtract(gate(subtract(next_obs_16, next_obs_6), pass_greater(obs_9, obs_14), next_obs_10), equal_to(obs_3, max(obs_0, obs_16))) (-425.8)",square(obs_13) (-222.1)
245,98000000,-394.29,1352.14,785.84,4756.80,4716.20,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (4607.0)","gate(next_obs_8, is_negative(pass_greater(next_obs_13, obs_5)), obs_7) (3712.6)","gate(next_obs_8, is_negative(pass_greater(obs_0, next_obs_7)), obs_7) (3993.8)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (4756.8)","gate(next_obs_8, square(equal_to(obs_14, obs_14)), obs_3) (3740.4)","gate(next_obs_8, is_negative(pass_greater(obs_11, next_obs_8)), obs_7) (268.8)","gate(multiply(max(next_obs_2, action_5), cos(action_2)), is_negative(pass_greater(next_obs_6, action_3)), obs_7) (478.4)","gate(tan(obs_7), action_4, gate(div_by_10(next_obs_6), next_obs_8, div_by_100(obs_10))) (-390.6)","gate(next_obs_8, cos(pass_greater(obs_3, next_obs_15)), gate(div_by_10(action_5), next_obs_8, div_by_100(obs_8))) (204.3)","gate(square(-0.447), cos(obs_16), gate(div_by_10(next_obs_2), next_obs_8, next_obs_8)) (703.7)","gate(-0.178, gate(add(next_obs_1, obs_15), min(obs_4, obs_15), next_obs_2), gate(div_by_10(obs_8), next_obs_8, div_by_100(obs_2))) (178.1)","gate(next_obs_8, equal_to(square(obs_4), min(obs_10, obs_1)), next_obs_15) (225.4)","pass_smaller(action_5, obs_16) (508.0)","gate(pass_smaller(div_by_100(obs_0), action_0), div_by_100(next_obs_0), obs_7) (547.3)","gate(next_obs_8, is_negative(pass_greater(action_1, obs_10)), div_by_100(pass_greater(obs_0, next_obs_0))) (-1171.1)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_7), pass_smaller(obs_16, obs_5), div_by_100(action_2))) (-235.0)","gate(obs_7, cos(obs_16), gate(div_by_10(next_obs_7), gate(obs_0, next_obs_12, next_obs_15), div_by_100(obs_13))) (-507.5)","gate(next_obs_8, is_negative(pass_greater(obs_7, next_obs_0)), obs_7) (-251.2)","gate(next_obs_8, is_negative(pass_greater(obs_8, next_obs_13)), protected_div(protected_div(obs_9, next_obs_13), multiply(obs_5, obs_3))) (989.4)","gate(action_3, is_negative(pass_greater(next_obs_5, next_obs_16)), obs_7) (-323.9)","add(obs_3, max(tan(next_obs_7), square(next_obs_15))) (-532.1)","protected_div(tan(equal_to(action_1, obs_6)), action_3) (-462.7)",tan(is_negative(div_by_100(obs_10))) (-477.0),"max(obs_6, min(next_obs_10, div_by_10(obs_6))) (-610.4)","min(gate(protected_div(action_5, next_obs_8), next_obs_4, obs_7), add(cos(next_obs_9), action_3)) (-306.6)"
246,98400000,-282.04,1371.98,559.21,5049.51,4716.20,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (3882.4)","gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (4889.9)","gate(next_obs_8, is_negative(pass_greater(obs_0, next_obs_7)), obs_7) (1132.2)","gate(next_obs_8, square(equal_to(obs_14, obs_14)), obs_3) (4111.1)","gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_6), next_obs_8, div_by_100(obs_2))) (5049.5)","gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_13), action_5, div_by_100(-0.722))) (180.7)","gate(next_obs_8, is_negative(pass_greater(action_5, next_obs_9)), min(max(action_0, obs_12), div_by_100(obs_9))) (306.5)","gate(pass_smaller(obs_5, protected_div(next_obs_9, obs_15)), obs_5, gate(div_by_10(action_3), next_obs_8, div_by_100(obs_14))) (-390.1)","gate(next_obs_8, is_negative(pass_greater(obs_15, obs_5)), gate(div_by_10(next_obs_5), next_obs_8, div_by_10(next_obs_12))) (-267.4)","multiply(protected_div(square(next_obs_13), square(next_obs_10)), max(obs_14, obs_12)) (-598.5)","gate(next_obs_8, square(div_by_100(next_obs_12)), square(equal_to(next_obs_5, obs_0))) (32.0)","add(div_by_10(min(obs_12, obs_9)), next_obs_12) (259.9)","pass_smaller(action_5, multiply(next_obs_12, multiply(next_obs_4, obs_16))) (-368.9)","gate(next_obs_8, sin(action_1), obs_7) (237.5)","gate(next_obs_8, square(equal_to(next_obs_1, next_obs_14)), obs_3) (-253.0)","gate(div_by_10(pass_greater(obs_16, obs_16)), cos(obs_16), gate(div_by_10(obs_13), next_obs_8, div_by_100(next_obs_4))) (-128.7)","gate(next_obs_8, square(obs_8), div_by_100(cos(next_obs_0))) (-466.3)","max(multiply(next_obs_2, action_4), obs_4) (-226.7)","gate(gate(pass_smaller(obs_13, action_3), div_by_100(obs_0), is_negative(next_obs_13)), action_3, obs_7) (-329.0)","gate(action_5, is_negative(pass_greater(next_obs_8, obs_4)), obs_7) (-297.1)","subtract(next_obs_6, min(cos(action_4), div_by_10(next_obs_10))) (-419.8)",div_by_10(next_obs_15) (-410.5),"gate(protected_div(obs_4, next_obs_12), next_obs_16, equal_to(cos(next_obs_5), div_by_10(next_obs_11))) (-927.8)","square(equal_to(tan(obs_3), next_obs_4)) (-365.3)","max(obs_2, obs_10) (-652.2)"
247,98800000,-148.77,1373.75,716.26,5401.30,4716.20,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_6), next_obs_8, div_by_100(obs_2))) (5401.3)","gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (4786.4)","gate(next_obs_8, square(equal_to(obs_14, obs_14)), obs_3) (2749.6)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (3576.6)","gate(next_obs_8, obs_7, gate(div_by_10(next_obs_5), min(obs_16, obs_8), div_by_100(next_obs_16))) (1973.3)","gate(next_obs_8, cos(obs_14), gate(div_by_10(action_0), next_obs_8, div_by_100(obs_12))) (191.6)","gate(next_obs_8, cos(max(next_obs_6, obs_11)), next_obs_12) (405.3)","gate(next_obs_8, cos(obs_16), equal_to(square(obs_7), action_0)) (-271.9)","gate(next_obs_8, cos(obs_16), gate(subtract(next_obs_2, obs_11), pass_greater(obs_8, next_obs_13), div_by_100(obs_10))) (336.4)","gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_13), next_obs_8, div_by_100(action_4))) (483.3)",sin(obs_6) (-244.2),"gate(equal_to(next_obs_2, subtract(next_obs_0, next_obs_3)), cos(obs_16), gate(div_by_10(action_4), obs_3, div_by_100(next_obs_15))) (-296.6)","gate(obs_3, square(pass_smaller(action_3, obs_5)), obs_3) (547.8)","gate(next_obs_8, square(equal_to(obs_7, obs_9)), obs_3) (493.6)","gate(next_obs_8, gate(add(obs_10, next_obs_4), next_obs_8, div_by_100(next_obs_2)), obs_3) (894.4)","gate(square(pass_greater(next_obs_16, next_obs_3)), cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, sin(next_obs_12))) (-353.6)","multiply(pass_greater(sin(next_obs_10), tan(obs_0)), min(next_obs_13, add(obs_3, next_obs_5))) (-396.7)","gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_9), next_obs_8, div_by_100(action_3))) (-220.2)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_10), next_obs_8, pass_greater(next_obs_16, obs_4))) (-151.7)","gate(next_obs_8, sin(next_obs_2), obs_7) (-566.6)",sin(cos(next_obs_0)) (-352.0),"max(multiply(subtract(next_obs_3, action_3), obs_15), is_negative(action_0)) (53.5)","sin(pass_greater(multiply(action_0, next_obs_9), obs_6)) (-501.4)","cos(max(square(next_obs_13), next_obs_7)) (-381.0)","min(square(obs_12), pass_greater(min(obs_13, obs_4), obs_9)) (-250.6)"
248,99200000,-442.70,1364.16,665.14,4289.59,4716.20,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_6), next_obs_8, div_by_100(obs_2))) (3831.1)","gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (4289.6)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (4154.1)","gate(next_obs_8, square(equal_to(obs_14, obs_14)), obs_3) (1958.8)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_9), square(obs_9), div_by_100(-0.870))) (3968.1)","gate(next_obs_8, div_by_10(min(obs_9, action_1)), equal_to(obs_7, obs_9)) (1066.2)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_8), next_obs_8, add(next_obs_2, next_obs_1))) (156.4)","gate(next_obs_8, gate(div_by_10(obs_8), next_obs_8, div_by_100(next_obs_2)), gate(div_by_10(next_obs_16), next_obs_8, div_by_100(next_obs_5))) (822.6)","gate(next_obs_8, cos(min(obs_2, next_obs_7)), gate(div_by_10(action_0), next_obs_8, equal_to(obs_3, obs_8))) (537.5)","gate(next_obs_8, equal_to(obs_5, equal_to(obs_4, obs_13)), obs_3) (16.3)","gate(next_obs_8, cos(obs_16), subtract(next_obs_3, add(obs_0, obs_0))) (-84.1)","gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_4), sin(obs_15), square(next_obs_7))) (-92.2)",tan(action_5) (-243.2),"gate(next_obs_8, square(equal_to(obs_11, obs_4)), obs_3) (-159.9)","gate(is_negative(action_0), cos(obs_16), gate(div_by_10(obs_16), next_obs_8, min(obs_15, action_1))) (539.4)","gate(max(is_negative(next_obs_16), max(next_obs_2, action_0)), next_obs_8, obs_3) (-258.8)","gate(next_obs_6, cos(obs_16), gate(div_by_10(obs_13), next_obs_8, pass_smaller(action_0, obs_13))) (-404.9)","gate(max(next_obs_8, obs_6), cos(obs_16), gate(next_obs_8, next_obs_8, div_by_100(next_obs_1))) (106.8)","gate(max(sin(obs_3), div_by_10(obs_1)), square(div_by_10(next_obs_12)), obs_3) (-348.5)","gate(next_obs_6, cos(obs_16), subtract(pass_greater(next_obs_16, obs_11), next_obs_4)) (-266.9)","subtract(is_negative(square(next_obs_9)), next_obs_14) (-290.8)","multiply(gate(square(next_obs_5), action_3, obs_13), div_by_100(min(obs_3, next_obs_8))) (-1344.3)","multiply(sin(gate(next_obs_12, next_obs_16, next_obs_9)), pass_smaller(subtract(next_obs_12, obs_9), pass_smaller(obs_12, next_obs_2))) (-412.4)","protected_div(pass_smaller(is_negative(obs_3), sin(next_obs_3)), min(action_5, next_obs_13)) (-353.2)","tan(pass_greater(div_by_10(action_5), sin(next_obs_16))) (-559.2)"
249,99600000,-364.76,1369.11,607.42,4784.92,4716.20,1000000,"gate(next_obs_8, cos(obs_16), gate(div_by_10(action_3), next_obs_8, div_by_100(next_obs_0))) (2189.1)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_14), next_obs_8, div_by_100(obs_7))) (4695.6)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_9), square(obs_9), div_by_100(-0.870))) (4784.9)","gate(next_obs_8, cos(obs_16), gate(div_by_10(obs_6), next_obs_8, div_by_100(obs_2))) (4331.4)","gate(next_obs_8, cos(obs_16), gate(div_by_10(next_obs_5), next_obs_8, gate(action_5, next_obs_14, action_0))) (3187.7)","gate(next_obs_8, cos(obs_9), gate(tan(action_0), square(obs_15), div_by_100(obs_16))) (-84.0)","gate(next_obs_8, cos(obs_16), gate(multiply(next_obs_14, obs_12), square(obs_3), obs_4)) (313.2)","gate(is_negative(obs_3), cos(obs_16), gate(div_by_10(next_obs_5), next_obs_8, div_by_100(next_obs_16))) (-69.9)","gate(next_obs_8, cos(add(next_obs_15, action_4)), gate(div_by_10(obs_4), next_obs_8, equal_to(obs_9, obs_3))) (136.7)","gate(next_obs_8, cos(div_by_10(obs_12)), gate(div_by_10(next_obs_5), next_obs_8, div_by_100(obs_13))) (652.3)","max(pass_smaller(is_negative(obs_14), div_by_10(next_obs_10)), protected_div(is_negative(obs_13), next_obs_11)) (-483.0)","gate(obs_14, sin(obs_16), gate(div_by_10(0.665), square(0.063), div_by_100(obs_10))) (1074.5)","gate(next_obs_8, next_obs_14, tan(action_1)) (361.1)","gate(next_obs_8, cos(obs_16), multiply(div_by_10(action_0), protected_div(obs_11, next_obs_1))) (-138.8)","gate(next_obs_8, cos(is_negative(0.560)), gate(div_by_10(obs_2), next_obs_8, subtract(next_obs_13, next_obs_11))) (538.3)",is_negative(obs_12) (-434.5),"gate(next_obs_8, cos(obs_16), gate(protected_div(next_obs_6, -0.512), square(next_obs_2), div_by_100(next_obs_14))) (-227.3)","min(next_obs_14, min(div_by_10(obs_4), tan(obs_4))) (-577.2)","gate(add(tan(action_5), gate(obs_8, obs_0, action_0)), cos(obs_16), gate(div_by_10(next_obs_3), next_obs_8, obs_14)) (-373.2)","gate(next_obs_8, cos(max(obs_0, obs_6)), gate(div_by_10(next_obs_12), div_by_10(obs_2), div_by_100(next_obs_11))) (-257.2)","sin(pass_smaller(action_5, square(next_obs_16))) (-377.8)","min(div_by_100(tan(obs_16)), max(equal_to(obs_2, next_obs_12), equal_to(next_obs_7, next_obs_5))) (-446.6)","max(pass_greater(protected_div(next_obs_16, next_obs_4), cos(next_obs_10)), min(tan(next_obs_5), pass_smaller(next_obs_5, next_obs_10))) (-1808.9)","sin(min(obs_1, pass_greater(obs_0, action_5))) (-454.6)","square(equal_to(next_obs_11, pass_smaller(next_obs_16, next_obs_16))) (-1346.2)"
